holiday,ds,lower_window,upper_window
신정,2020-01-01,-4,4
설날,2020-01-24,-4,4
설날,2020-01-25,-4,4
설날,2020-01-26,-4,4
대체공휴일,2020-01-27,-4,4
삼일절,2020-03-01,-4,4
국회의원선거,2020-04-15,-4,4
부처님오신날,2020-04-30,-4,4
어린이날,2020-05-05,-4,4
현충일,2020-06-06,-4,4
광복절,2020-08-15,-4,4
추석,2020-09-30,-4,4
추석,2020-10-01,-4,4
추석,2020-10-02,-4,4
개천절,2020-10-03,-4,4
한글날,2020-10-09,-4,4
크리스마스,2020-12-25,-4,4
신정,2021-01-01,-4,4
설날,2021-02-11,-4,4
설날,2021-02-12,-4,4
설날,2021-02-13,-4,4
삼일절,2021-03-01,-4,4
어린이날,2021-05-05,-4,4
부처님오신날,2021-05-19,-4,4
현충일,2021-06-06,-4,4
광복절,2021-08-15,-4,4
대체공휴일,2021-08-16,-4,4
추석,2021-09-20,-4,4
추석,2021-09-21,-4,4
추석,2021-09-22,-4,4
개천절,2021-10-03,-4,4
대체공휴일,2021-10-04,-4,4
한글날,2021-10-09,-4,4
대체공휴일,2021-10-11,-4,4
크리스마스,2021-12-25,-4,4
신정,2022-01-01,-4,4
설날,2022-01-31,-4,4
설날,2022-02-01,-4,4
설날,2022-02-02,-4,4
삼일절,2022-03-01,-4,4
대통령선거,2022-03-09,-4,4
어린이날,2022-05-05,-4,4
부처님오신날,2022-05-08,-4,4
지방선거,2022-06-01,-4,4
현충일,2022-06-06,-4,4
제헌절,2022-07-17,-4,4
광복절,2022-08-15,-4,4
추석,2022-09-09,-4,4
추석,2022-09-10,-4,4
추석,2022-09-11,-4,4
대체공휴일,2022-09-12,-4,4
개천절,2022-10-03,-4,4
한글날,2022-10-09,-4,4
대체공휴일,2022-10-10,-4,4
크리스마스,2022-12-25,-4,4
신정,2023-01-01,-4,4
설날,2023-01-21,-4,4
설날,2023-01-22,-4,4
설날,2023-01-23,-4,4
대체공휴일,2023-01-24,-4,4
삼일절,2023-03-01,-4,4
어린이날,2023-05-05,-4,4
부처님오신날,2023-05-27,-4,4
현충일,2023-06-06,-4,4
광복절,2023-08-15,-4,4
추석,2023-09-28,-4,4
추석,2023-09-29,-4,4
추석,2023-09-30,-4,4
개천절,2023-10-03,-4,4
한글날,2023-10-09,-4,4
크리스마스,2023-12-25,-4,4
