년,지역명,변화율
2023,안덕면,1.641215380376745
2023,조천읍,1.178150113307297
2023,제주시내,1.1402201088024864
2023,애월읍,0.8302042726454857
2023,서귀포시내,0.7706400916006199
2023,우도면,0.7464658187725144
2023,성산읍,0.6466463333592412
2023,한림읍,0.6434445432242333
2023,대정읍,0.6366584077091619
2023,구좌읍,0.5136907301588208
2023,표선면,0.43188947441128
2023,남원읍,0.4252176468753016
2023,한경면,0.31914518186777946
2023,추자면,0.1391167527923382
2022,안덕면,1.576743103647457
2022,조천읍,1.2413046031034445
2022,제주시내,0.9972657428631956
2022,애월읍,0.9191910273238904
2022,서귀포시내,0.6926641220034181
2022,대정읍,0.5983828954339511
2022,성산읍,0.5939323369806768
2022,한림읍,0.5935604912275975
2022,우도면,0.5858119701381986
2022,한경면,0.49188122039879767
2022,구좌읍,0.4888335753386292
2022,남원읍,0.3762328799598443
2022,표선면,0.3627215496093908
2022,추자면,0.0964365533188006
2021,안덕면,1.5285213437667025
2021,조천읍,1.088371767182054
2021,애월읍,0.9902558424337968
2021,제주시내,0.9711995733807602
2021,서귀포시내,0.6555346142245941
2021,대정읍,0.634767508067065
2021,성산읍,0.5985926150906458
2021,한림읍,0.5751423633838532
2021,우도면,0.549838935798064
2021,구좌읍,0.5470114498330124
2021,한경면,0.45774211344410365
2021,표선면,0.3578740690496918
2021,남원읍,0.2997159167186961
2021,화북동,0.23010659330034156
2021,이호동,0.20172350866862254
