입장구분명,관광지명,입장인원수
무료경로,천지연폭포,119914
무료경로,정방폭포,60680
무료경로,천제연폭포,43005
무료경로,용머리해안,35573
무료경로,주상절리대,21669
무료경로,서귀포 치유의 숲,11166
무료경로,이중섭미술관,9729
무료경로,산방산 암벽식물지대,6283
무료경로,제주돌문화공원,4195
무료경로,서복전시관,1747
무료경로,서귀포천문과학문화관,383
무료유아,천제연폭포,7635
무료유아,정방폭포,7114
무료유아,천지연폭포,6285
무료유아,주상절리대,2502
무료유아,이중섭미술관,1830
무료유아,용머리해안,1299
무료유아,서귀포 치유의 숲,931
무료유아,서귀포천문과학문화관,699
무료유아,산방산 암벽식물지대,424
무료유아,서복전시관,239
무료유아,감귤박물관,9
무료장애인,천지연폭포,20763
무료장애인,정방폭포,13304
무료장애인,천제연폭포,11879
무료장애인,주상절리대,5155
무료장애인,용머리해안,2027
무료장애인,서귀포 치유의 숲,1787
무료장애인,이중섭미술관,1766
무료장애인,산방산 암벽식물지대,1050
무료장애인,제주돌문화공원,730
무료장애인,서복전시관,338
무료장애인,서귀포천문과학문화관,48
무료장애인,감귤박물관,7
