년,상호명,제주도민매출금액비율
2021,늘봄흑돼지,19.18
2021,풀바셋제주아라DT점,16.92
2021,금성마트. 크라운베이커리고산점,15.84
2021,제주늘봄,13.95
2021,제주축협 한우플라자,13.59
2021,쉐프의스시이야기,13.24
2021,태백산제주본점,12.9
2021,제주통큰장어,12.83
2021,푸주옥,11.22
2021,주식회사 와인창고,10.91
2022,제주늘봄,27.33
2022,늘봄흑돼지,19.25
2022,제주축협한우플라자,17.38
2022,주식회사 와인창고,16.63
2022,돈풍년,14.08
2022,"금성마트, 크라운베이커리고산점",13.69
2022,제주축협 한우플라자,13.06
2022,태백산제주본점,12.9
2022,축협축산물플라자 한우식당,12.82
2022,쉐프의스시이야기,12.22
2023,제주늘봄,28.65
2023,늘봄흑돼지,21.18
2023,주식회사 와인창고,17.32
2023,칠성뷔페,17.09
2023,안다미로늘봄,16.86
2023,영복갈비제주본점,14.2
2023,태백산제주본점,13.47
2023,디앤,13.23
2023,쉐프의스시이야기,12.96
2023,푸주옥노형점,12.79
