숙박업명,ratio_weight
제주 골드원 호텔 스위트,11.596
제주 일레인 호텔,11.475
해비치 호텔 & 리조트,11.399999999999999
신라스테이제주,11.363999999999999
베니키아호텔제주(구. 뉴베니키아호텔제주),11.336
수앤수리조트(구.수앤수가족호텔),11.315999999999999
라마다제주시티,11.286999999999999
켄싱턴리조트 제주한림,10.494
라마다제주함덕,10.48
노형호텔,10.466
히든 클리프 호텔 앤 네이처,10.441
메종글래드제주,10.44
베니키아 중문 호텔,10.405
켄싱턴리조트 서귀포,10.357
호텔 위드스테이 제주,10.352
썬 앤 문 리조트,10.349
다인리조트,10.338
호텔 시리우스,10.33
메이더호텔,10.322
호텔 앨리스 앤 트렁크,10.302
호텔 스카이파크 제주 1호점,10.298
코델리아s 호텔 앤 리조트,10.288
중문 리조트,10.280999999999999
그라벨호텔,10.248
호텔 케니 서귀포,6.196
더 그랜드 섬오름,6.183
올레리조트,6.167
아스타호텔,6.154
호텔 레오 제주,6.154
돔베리조트,6.069999999999999
제주썬 호텔,5.2299999999999995
파크 선샤인 제주,5.176
호텔더원,5.154
호텔 케니 모슬포,5.138999999999999
호텔 엘르 제주,5.135
호텔난타,5.13
어반스테이 제주연동,5.125
호텔 에어시티 제주,5.125
한림 리조트,5.118
플레이스 캠프 제주,5.100999999999999
